SKU,Product_Name,Brand,Category,Stock_Count,Price,Aisle,Section,Shelf
SKU100100,Organic Fuji Apples 3lb Bag,FreshFarm,Fruits,94,3.99,A - Fresh Produce,A1,Bottom Shelf (1)
SKU100101,Red Seedless Grapes 2lb,SunHarvest,Fruits,94,4.29,A - Fresh Produce,A2,Lower-Middle Shelf (2)
SKU100102,Navel Oranges 4lb Bag,CitrusGrove,Fruits,4,5.49,A - Fresh Produce,A1,Top Shelf (4)
SKU100103,Bananas (bunch ~5),TropicFresh,Fruits,64,1.29,A - Fresh Produce,A2,Lower-Middle Shelf (2)
SKU100104,Strawberries 1lb,BerryBest,Fruits,28,3.49,A - Fresh Produce,A2,Top Shelf (4)
SKU100105,Blueberries 6oz,BerryBest,Fruits,97,2.99,A - Fresh Produce,A3,Bottom Shelf (1)
SKU100106,Avocado (each),GreenGold,Fruits,35,0.99,A - Fresh Produce,A4,Upper-Middle Shelf (3)
SKU100107,Mango (each),TropicFresh,Fruits,11,1.49,A - Fresh Produce,A3,Bottom Shelf (1)
SKU100108,Pineapple (whole),TropicFresh,Fruits,77,3.29,A - Fresh Produce,A3,Upper-Middle Shelf (3)
SKU100109,Watermelon (whole),SunHarvest,Fruits,68,7.99,A - Fresh Produce,A1,Top Shelf (4)
SKU100110,Roma Tomatoes 2lb,FreshFarm,Vegetables,70,2.49,A - Fresh Produce,A4,Bottom Shelf (1)
SKU100111,Broccoli Crown,GreenGrow,Vegetables,90,1.99,A - Fresh Produce,A3,Lower-Middle Shelf (2)
SKU100112,Spinach 5oz bag,GreenGrow,Vegetables,10,2.99,A - Fresh Produce,A2,Upper-Middle Shelf (3)
SKU100113,Russet Potatoes 5lb,EarthFresh,Vegetables,35,4.29,A - Fresh Produce,A1,Top Shelf (4)
SKU100114,Yellow Onions 3lb,EarthFresh,Vegetables,47,2.29,A - Fresh Produce,A3,Lower-Middle Shelf (2)
SKU100115,Garlic Bulb (each),EarthFresh,Vegetables,77,0.69,A - Fresh Produce,A3,Bottom Shelf (1)
SKU100116,Baby Carrots 1lb,CrunchFarm,Vegetables,59,1.49,A - Fresh Produce,A2,Lower-Middle Shelf (2)
SKU100117,Celery Stalks,GreenGrow,Vegetables,107,1.79,A - Fresh Produce,A2,Upper-Middle Shelf (3)
SKU100118,Bell Peppers (3-pack mixed),ColorVeg,Vegetables,51,3.49,A - Fresh Produce,A1,Upper-Middle Shelf (3)
SKU100119,Cucumber (each),FreshFarm,Vegetables,27,0.89,A - Fresh Produce,A2,Upper-Middle Shelf (3)
SKU100120,Zucchini (each),FreshFarm,Vegetables,33,0.99,A - Fresh Produce,A4,Lower-Middle Shelf (2)
SKU100121,Sweet Corn (each),SunHarvest,Vegetables,114,0.79,A - Fresh Produce,A3,Top Shelf (4)
SKU100122,Iceberg Lettuce (head),GreenGrow,Vegetables,65,1.49,A - Fresh Produce,A2,Lower-Middle Shelf (2)
SKU100123,Romaine Hearts 3-pack,GreenGrow,Vegetables,19,3.29,A - Fresh Produce,A1,Bottom Shelf (1)
SKU100124,Cherry Tomatoes 10oz,TomatoKing,Vegetables,49,3.49,A - Fresh Produce,A4,Bottom Shelf (1)
SKU100125,Whole Milk 1 Gallon,DairyPure,Milk,70,3.79,B - Dairy & Eggs,B4,Upper-Middle Shelf (3)
SKU100126,2% Reduced Fat Milk 1 Gallon,DairyPure,Milk,98,3.79,B - Dairy & Eggs,B1,Upper-Middle Shelf (3)
SKU100127,Oat Milk Original 64oz,OatlyFarm,Milk Alternatives,20,4.99,B - Dairy & Eggs,B3,Top Shelf (4)
SKU100128,Almond Milk Unsweetened 64oz,NutriNut,Milk Alternatives,64,3.99,B - Dairy & Eggs,B3,Lower-Middle Shelf (2)
SKU100129,Large Eggs 12-count,SunnySide,Eggs,19,3.49,B - Dairy & Eggs,B3,Lower-Middle Shelf (2)
SKU100130,Cage-Free Eggs 18-count,HappyHen,Eggs,76,5.49,B - Dairy & Eggs,B2,Bottom Shelf (1)
SKU100131,Salted Butter 4 sticks,CreamyTop,Butter,118,5.29,B - Dairy & Eggs,B1,Bottom Shelf (1)
SKU100132,Greek Yogurt Plain 32oz,ChobaniPlus,Yogurt,7,5.49,B - Dairy & Eggs,B3,Lower-Middle Shelf (2)
SKU100133,Strawberry Yogurt 6-pack,YoplaitFresh,Yogurt,93,4.29,B - Dairy & Eggs,B1,Bottom Shelf (1)
SKU100134,Shredded Mozzarella 2lb,GaldaCheese,Cheese,16,7.49,B - Dairy & Eggs,B1,Lower-Middle Shelf (2)
SKU100135,Sliced American Cheese 16oz,KraftValu,Cheese,67,4.49,B - Dairy & Eggs,B2,Upper-Middle Shelf (3)
SKU100136,Cream Cheese 8oz,PhillyFarm,Cheese,51,2.99,B - Dairy & Eggs,B2,Upper-Middle Shelf (3)
SKU100137,Sour Cream 16oz,DairyPure,Cream,31,2.49,B - Dairy & Eggs,B4,Bottom Shelf (1)
SKU100138,Heavy Whipping Cream 1pt,DairyPure,Cream,75,3.49,B - Dairy & Eggs,B3,Bottom Shelf (1)
SKU100139,Boneless Chicken Breast 2lb,FarmFirst,Poultry,9,6.99,C - Meat & Seafood,C2,Bottom Shelf (1)
SKU100140,Chicken Thighs Bone-In 3lb,FarmFirst,Poultry,110,7.49,C - Meat & Seafood,C1,Bottom Shelf (1)
SKU100141,Ground Turkey 93/7 1lb,FarmFirst,Poultry,85,5.49,C - Meat & Seafood,C2,Upper-Middle Shelf (3)
SKU100142,85/15 Ground Beef 1lb,RanchSelect,Beef,31,5.29,C - Meat & Seafood,C2,Top Shelf (4)
SKU100143,Beef Sirloin Steak 1lb,RanchSelect,Beef,12,9.99,C - Meat & Seafood,C4,Lower-Middle Shelf (2)
SKU100144,Pork Tenderloin 1.5lb,PrimeChop,Pork,54,7.99,C - Meat & Seafood,C4,Upper-Middle Shelf (3)
SKU100145,Bacon 16oz,SmokeHouse,Pork,7,5.99,C - Meat & Seafood,C1,Bottom Shelf (1)
SKU100146,Salmon Fillet 1lb,OceanCatch,Seafood,31,8.99,C - Meat & Seafood,C3,Bottom Shelf (1)
SKU100147,Tilapia Fillets 1lb,OceanCatch,Seafood,54,5.99,C - Meat & Seafood,C4,Lower-Middle Shelf (2)
SKU100148,Shrimp 31-40ct 1lb,SeaPrime,Seafood,111,8.49,C - Meat & Seafood,C4,Lower-Middle Shelf (2)
SKU100149,White Sandwich Bread 20oz,WonderBake,Bread,83,2.99,D - Bakery & Bread,D1,Bottom Shelf (1)
SKU100150,Whole Wheat Bread 20oz,WonderBake,Bread,52,3.29,D - Bakery & Bread,D2,Lower-Middle Shelf (2)
SKU100151,Sourdough Loaf,CrustCraft,Artisan Bread,115,4.49,D - Bakery & Bread,D2,Top Shelf (4)
SKU100152,Bagels 6-pack,BagelBros,Bagels,49,3.79,D - Bakery & Bread,D4,Bottom Shelf (1)
SKU100153,English Muffins 6-pack,ThomasStyle,Muffins,54,3.49,D - Bakery & Bread,D4,Upper-Middle Shelf (3)
SKU100154,Croissants 4-pack,PastryCo,Pastry,27,4.99,D - Bakery & Bread,D2,Upper-Middle Shelf (3)
SKU100155,Blueberry Muffins 4-pack,BakeHouse,Muffins,7,4.49,D - Bakery & Bread,D1,Upper-Middle Shelf (3)
SKU100156,Chocolate Cake Slice,BakeHouse,Cakes,7,3.99,D - Bakery & Bread,D4,Lower-Middle Shelf (2)
SKU100157,Flour Tortillas 10-pack,MissionBake,Tortillas,76,3.49,D - Bakery & Bread,D2,Bottom Shelf (1)
SKU100158,Corn Tortillas 30-pack,MissionBake,Tortillas,15,3.79,D - Bakery & Bread,D2,Top Shelf (4)
SKU100159,Frozen Broccoli 12oz,BirdsEyeFarm,Frozen Vegetables,53,2.29,E - Frozen Foods,E1,Bottom Shelf (1)
SKU100160,Frozen Mixed Vegetables 16oz,BirdsEyeFarm,Frozen Vegetables,85,2.49,E - Frozen Foods,E3,Lower-Middle Shelf (2)
SKU100161,Frozen Corn 16oz,GreenGiant,Frozen Vegetables,16,1.99,E - Frozen Foods,E3,Top Shelf (4)
SKU100162,Frozen Peas 16oz,GreenGiant,Frozen Vegetables,1,1.99,E - Frozen Foods,E3,Bottom Shelf (1)
SKU100163,Pepperoni Pizza 12in,DiGiornoStyle,Frozen Pizza,68,6.99,E - Frozen Foods,E1,Bottom Shelf (1)
SKU100164,Cheese Pizza 12in,DiGiornoStyle,Frozen Pizza,119,6.49,E - Frozen Foods,E3,Lower-Middle Shelf (2)
SKU100165,Chicken Nuggets 32oz,TysonFarm,Frozen Chicken,47,7.99,E - Frozen Foods,E1,Lower-Middle Shelf (2)
SKU100166,Fish Sticks 24oz,GordonStyle,Frozen Seafood,78,5.49,E - Frozen Foods,E4,Upper-Middle Shelf (3)
SKU100167,Frozen Waffles 10-count,EggoStyle,Frozen Breakfast,120,3.79,E - Frozen Foods,E3,Bottom Shelf (1)
